,Guwhathi,Srinagar,Chandigarh,Delhi,Rudrapur,NaviMumbai,Vijaywada,Varanasi,Kharagpur,Indore,Belgaum,Bangalore,Rajkot,Ahmedabad,Ludhiana,Rourkela,Hyderabad,Nagpur,Coimbatore,Kolkata
Kolkata,524,1840,1464,1319,1145,1643,1052,628,120,1286,1636,1559,1808,1622,1548,364,1183,972,1763,0
Haldia,590,1864,1481,1327,1162,1602,990,634,93,1259,1583,1496,1780,1597,1563,332,1127,934,1699,69
Paradeep,832,1929,1527,1347,1215,1439,762,677,238,1155,1380,1262,1663,1492,1602,292,921,798,1461,309
Vizag,1285,2001,1586,1371,1311,1087,304,846,665,950,952,798,1396,1259,1643,535,504,579,1001,763
Chennai,1879,2392,1988,1761,1763,1017,381,1384,1263,1165,694,291,1431,1369,2025,1126,514,902,428,1356
Chidambaram,2065,2562,2162,1935,1948,1107,575,1579,1453,1318,748,288,1534,1493,2196,1322,675,1081,302,1543
Kochi,2425,2679,2304,2081,2135,1066,869,1845,1805,1416,683,367,1489,1502,2323,1644,859,1278,142,1903
Mangalore,2294,2345,1984,1764,1841,705,740,1616,1676,1091,328,298,1125,1145,1995,1481,631,1017,311,1786
Mormugaon,2209,2072,1725,1511,1610,410,743,1455,1609,838,89,490,827,853,1729,1389,546,846,594,1725
JNPT,2100,1691,1367,1167,1299,24,872,1263,1548,525,385,834,429,454,1361,1307,623,700,982,1667
DeenDayal,2312,1282,1097,983,1193,667,1457,1429,1876,713,1045,1496,244,375,1048,1635,1213,1079,1640,1988
Kharagpur,622,1781,1395,1238,1076,1524,947,545,0,1171,1520,1456,1692,1508,1476,246,1068,853,1664,120
Chandigarh,1550,416,0,228,320,1351,1625,855,1395,893,1665,1969,1108,951,91,1236,1489,1087,2184,1464
Delhi,1474,636,228,0,227,1149,1399,693,1238,675,1449,1743,951,776,272,1057,1262,861,1959,1319
Bangalore,2078,2356,1969,1743,1783,830,511,1479,1456,1095,462,0,1259,1233,1994,1285,498,919,228,1559
